# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
3.000000000000000000e+00 5.545118149221681279e+02 4.075826101747453123e+01 -2.330585703192866731e+01 4.080604240214728406e+01 -2.333272551084296254e+01 1.052292892373157862e+01 -2.318081953168714460e+00 -2.317996727249657773e+00 -3.389273959599631070e+00
7.000000000000000000e+00 9.891651709007098816e+02 1.222766978163139484e+01 -9.109301237358987891e+00 1.223111355367899833e+01 -9.113580822790384062e+00 4.543217185357531385e+00 -4.013065158609759320e-01 -4.011533184115798067e-01 6.329929385715367118e+00
1.200000000000000000e+01 1.060192672283230877e+03 1.342969331752584061e+01 -5.599383458159492122e+00 1.343152317997735246e+01 -5.599060376605196510e+00 2.896833347573500639e+00 4.249741742585612658e-01 4.248590588651408595e-01 2.187405135393347688e+00
1.700000000000000000e+01 1.104291171293842581e+03 4.673569844820454344e-01 1.379281581284286595e+01 4.579716229758862278e-01 1.380744136645159514e+01 1.780813614231553599e+00 1.857630559685173322e-01 1.857275123140367523e-01 2.525520801077082211e+00
2.200000000000000000e+01 8.700887532835555476e+02 1.540619173457969948e+00 -3.326905652269497971e+00 1.537164017090463464e+00 -3.337635876323756356e+00 3.473201940515586728e+00 -1.072399512931223875e-01 -1.072511606013909213e-01 1.230716802332627591e+00
2.700000000000000000e+01 1.087616342046689851e+03 1.092169191285316643e+01 1.113510560738068911e+01 1.092994875238131769e+01 1.114732330268014238e+01 2.778055332489336671e+00 5.075144311790562579e-01 5.075640125941560665e-01 1.393284082150729963e+00
3.200000000000000000e+01 1.279945516282644576e+03 4.626333775850078212e+00 3.292828663272222567e+00 4.624940414369817177e+00 3.295647210297945939e+00 2.331568267292679852e+00 1.835019135384840516e-01 1.835710683343072802e-01 1.719460729672321664e+00
3.700000000000000000e+01 1.382639510995565615e+03 1.461408086171635645e+01 5.492145574665934227e+00 1.463314006334962869e+01 5.497387379724621326e+00 1.976881987951075059e+00 1.445049239249433237e-01 1.446113252525169368e-01 1.722294460008411576e+00
4.200000000000000000e+01 1.539212586540703342e+03 6.143861560813681510e-01 -1.096377374366701796e+00 6.077399629352285837e-01 -1.103160131784618692e+00 1.929424756052114942e+00 2.272510862988123270e-01 2.274236164942941285e-01 1.541902834432541836e+00
4.700000000000000000e+01 1.434088348659783605e+03 1.002339406622353302e+01 5.891008395950778187e+00 1.004104252661256780e+01 5.900084739093980346e+00 2.074538775358973908e+00 -3.408852389978456188e-01 -3.411629672739399655e-01 1.274442105972890316e+00
5.200000000000000000e+01 1.543712500204174830e+03 -4.831180943418582174e+00 4.026374727757510819e+00 -4.840867044512966899e+00 4.031868840225908635e+00 1.716697716599607348e+00 -1.855886282905988005e-01 -1.857974099762793041e-01 1.280916512411882646e+00
5.700000000000000000e+01 1.937238078502965436e+03 -6.794441268936365574e+00 3.698752422464127054e+00 -6.812699267420168958e+00 3.704955803892622690e+00 1.922678174926678141e+00 4.407798984101203577e-02 4.414141109170299782e-02 8.532968421133354520e-01
6.200000000000000000e+01 1.704288667623331321e+03 5.660924629028682986e+00 1.465534743054487166e+00 5.680430561372194376e+00 1.465743010330848417e+00 2.211707242741218327e+00 -6.943075098359274833e-02 -6.950569830659955595e-02 6.985021838177755127e-01
6.700000000000000000e+01 1.985135053586726599e+03 -2.008420466438103347e+00 6.060408099901906986e+00 -2.015004298061060073e+00 6.074509564912569992e+00 2.063293476919855429e+00 -1.898568686462593635e-01 -1.902469095936478727e-01 8.906758023200593843e-01
7.200000000000000000e+01 2.026621156416385247e+03 -1.809494305601815567e+00 9.546116426617443196e+00 -1.815814416791699415e+00 9.579648632681809772e+00 1.604889149528356596e+00 2.638198073503555952e-01 2.644630214010756930e-01 8.628766529526693541e-01
7.700000000000000000e+01 1.929502861542693381e+03 -1.581472456603711496e+00 -3.832853087635198275e+00 -1.586590385087838895e+00 -3.852459272193104134e+00 2.226605123615193804e+00 2.819425112257148980e-01 2.827596671315279475e-01 8.280302076576380177e-01
8.200000000000000000e+01 2.329818963252586400e+03 4.073577024336927366e-02 9.035554378454981883e-01 4.146077609063496261e-02 9.049087450347356176e-01 2.228760423904549093e+00 2.018183069865258639e-01 2.024881488312123279e-01 9.084047101140569902e-01
8.700000000000000000e+01 2.472997061865562046e+03 -1.968434930275076100e+00 4.694614039085059254e+00 -1.972832505283437898e+00 4.716273111315153699e+00 2.417018571105182367e+00 9.315575780878358747e-02 9.351218249116181880e-02 8.868725951041772637e-01
9.200000000000000000e+01 2.436493328847178418e+03 -1.119745166407213688e+01 -1.147768602612688316e+00 -1.124811796167750089e+01 -1.152644523394949605e+00 2.101914212291339457e+00 4.148140040073142881e-02 4.173345864204103250e-02 1.268899668783903589e+00
9.700000000000000000e+01 2.778485439730354301e+03 -2.276718961074250913e+01 -3.548660887165052458e+00 -2.288153500478801305e+01 -3.565689363361357778e+00 3.013015051813972445e+00 7.534872679666000661e-02 7.571751752382104017e-02 1.023367360107127810e+00
1.040000000000000000e+02 3.008494998286421378e+03 -2.587027746570678843e+01 3.221751085776583423e+00 -2.601985605532152235e+01 3.241319221927470018e+00 2.043597492590981446e+00 -6.973715940170881200e-02 -7.007330155543384231e-02 5.978541565140420566e-01
1.130000000000000000e+02 3.338548346630398555e+03 -3.124632519462075564e+01 3.162904597645876503e+00 -3.144719560818159110e+01 3.180151673760659214e+00 2.774401466740460176e+00 4.865696031963488016e-02 4.903037209477174169e-02 1.005298854495915606e+00
1.220000000000000000e+02 3.534813114516310179e+03 -3.523433415490445952e+01 4.025045059124995106e+00 -3.549625657945031776e+01 4.056796525742624837e+00 2.288564933983902705e+00 -4.526282256033521967e-01 -4.558521567267906915e-01 1.135805737990570830e+00
1.310000000000000000e+02 3.797716503158221258e+03 -3.808285433586858204e+01 -3.950743429877215718e+00 -3.841057625377631979e+01 -3.985122510749742109e+00 2.372122134000839377e+00 2.929934187067225193e-01 2.954781671952077526e-01 4.534324644610054356e-01
1.400000000000000000e+02 4.297103548759318073e+03 -3.883386776404740459e+01 -8.983662763789764583e+00 -3.921084597309568665e+01 -9.077726133878842418e+00 2.418238021187027353e+00 1.946424945698061737e-01 1.965761388601419135e-01 1.005701731273865196e+00
1.490000000000000000e+02 4.297736598730345577e+03 -3.990550024617372316e+01 2.994199063196825161e-01 -4.033927940600035811e+01 3.007963001546920534e-01 2.662554801968059603e+00 -6.581995257844148149e-03 -6.618427266655920078e-03 5.374989573460755565e-01
1.580000000000000000e+02 4.879486998198518449e+03 -4.781867386890255034e+01 3.719324513941194787e+00 -4.840406779501059731e+01 3.770499728784534987e+00 2.230679322303672052e+00 4.459784817592036821e-01 4.512020997300063008e-01 1.344698666412431409e+00
1.670000000000000000e+02 5.106571446614927481e+03 -3.325368826066070227e+01 -1.136810973500285371e+01 -3.369422848602827258e+01 -1.153228988363682106e+01 1.600006660380048018e+00 3.085964572162716024e-01 3.126535635596374707e-01 7.091536024233406899e-01
1.760000000000000000e+02 5.128684412073062049e+03 -4.076982335277644864e+01 3.842741410694999971e+00 -4.138661486788078037e+01 3.902620171404260763e+00 2.366678222703215706e+00 -3.125051656258611560e-02 -3.167299397148129469e-02 1.156064097129757329e+00
1.850000000000000000e+02 5.404567071234218929e+03 -2.315526428064310238e+01 5.222464347630905834e+00 -2.353231431058971523e+01 5.304147128403474909e+00 1.929060408345677935e+00 2.648341100072427734e-01 2.688145871389659436e-01 2.083918886129337289e-01
1.940000000000000000e+02 5.506213604447174475e+03 -7.781290680422819683e+00 1.606153586398435307e+00 -7.908697974146570608e+00 1.632116846248734099e+00 1.446979211599987991e+00 2.849015593610768615e-01 2.898836910934698974e-01 8.207899751848574121e-01
2.030000000000000000e+02 5.631281168469397016e+03 -5.818269084564594351e+00 6.567162114025817843e+00 -5.926415096269973759e+00 6.707720509967116662e+00 2.452923861444960441e+00 -2.411532888779697736e-01 -2.456127947279730939e-01 6.284456433121790031e-01
2.120000000000000000e+02 5.932741368993138167e+03 -7.315476458372702773e-01 -5.845604681457057694e+00 -7.516187933619712380e-01 -5.970458747822085854e+00 1.524522765746759045e+00 1.354846158245723575e-01 1.384262199861116260e-01 6.902570700254592184e-01
2.210000000000000000e+02 6.174897203954121323e+03 2.445877434076182766e+01 -3.050137066557850218e+00 2.501465203442604945e+01 -3.118330510766198937e+00 2.504367747609916428e+00 6.974668719237897552e-01 7.131271965823591241e-01 5.494391453633831190e-01
2.300000000000000000e+02 5.768884270766556256e+03 4.153979178135131889e+01 -1.068393307409424065e+00 4.255488948609825428e+01 -1.097307418173434135e+00 2.522170401960186048e+00 7.285586174500796597e-01 7.458745504655136527e-01 6.208381653503243225e-01
2.390000000000000000e+02 5.934441065230689674e+03 5.822998207714263685e+01 9.329915288716625899e-01 5.977150183729430921e+01 9.603806821460021403e-01 2.870500030824869597e+00 3.380673428890844101e-01 3.470982703620191234e-01 1.115260444754319291e+00
2.480000000000000000e+02 5.652436302079853704e+03 6.280389473820184776e+01 -5.903081906290906566e+00 6.457029688645364729e+01 -6.075548895248537917e+00 3.607557844899766053e+00 1.427583694724489927e-01 1.474000842581509874e-01 5.566359430615517301e-01
2.570000000000000000e+02 5.340125957808893872e+03 6.619270082890835738e+01 -1.537198267708475452e+00 6.817956377586315853e+01 -1.582919047299797821e+00 4.030524928834291032e+00 5.951731097372681134e-02 6.132838025755685263e-02 2.716162084771184815e-01
2.660000000000000000e+02 5.095877711929063480e+03 7.550266859644045780e+01 5.020512194079493007e+00 7.789979404738647872e+01 5.187006423656997711e+00 4.470637238595907448e+00 1.693252857104479148e-01 1.757554683373639681e-01 3.707464959342958721e-01
2.750000000000000000e+02 5.045507465813541785e+03 1.046496733877577583e+02 4.364376747090222275e-01 1.082130166712371988e+02 4.587169506610959124e-01 6.503097427897295724e+00 1.288349317865086774e-01 1.334546159756455075e-01 5.646430496146206401e-01
2.840000000000000000e+02 4.675945233861690213e+03 1.164213219546468991e+02 -7.659424850429164877e+00 1.206369180602985693e+02 -7.944181353947275426e+00 6.182623302750098304e+00 3.027714987069216601e-01 3.140780113496364212e-01 1.184620680010253446e+00
2.930000000000000000e+02 4.404914310113948886e+03 1.107786166101772807e+02 -3.553839730673372443e+00 1.150167646306162794e+02 -3.691580137923761828e+00 9.430256508053700415e+00 7.268292043900971278e-01 7.552707417732168471e-01 -3.398904924229779745e-01
3.020000000000000000e+02 3.984490244093040474e+03 1.228578314857951312e+02 -6.146728146399594195e+00 1.278517615217693333e+02 -6.396111908959625225e+00 1.123386773738540967e+01 2.842551742589509711e-01 2.955495197195234791e-01 1.295866435378347115e+00
3.110000000000000000e+02 3.665324626484722558e+03 1.164379108006431380e+02 -1.664940252321691627e+00 1.214413347736027049e+02 -1.733960135952899995e+00 1.086109615483767499e+01 1.921596471524792682e-01 1.999205390912807412e-01 8.110188560708221361e-01
3.200000000000000000e+02 3.445085867962393422e+03 1.029514239972698988e+02 -1.656483150328906806e+00 1.076035363818819093e+02 -1.730302569043189020e+00 1.338085619599999099e+01 -4.810814654149548342e-01 -5.028907450237656285e-01 4.638682313075603858e-01
3.290000000000000000e+02 3.281144657134746012e+03 1.128602875528679164e+02 4.857161113548905895e+00 1.182427239363947251e+02 5.090113732731854412e+00 1.470064416457955048e+01 -1.079333471678583845e+00 -1.131442402264994707e+00 -3.849678042106078335e-01
3.380000000000000000e+02 2.894911615871055801e+03 9.245703996176260375e+01 1.282150244703735531e+01 9.709947339867073879e+01 1.347107359922851266e+01 1.346362094404956089e+01 1.050354002397175357e+00 1.103634723066956091e+00 1.232318228032732499e+00
3.470000000000000000e+02 2.523307151540450832e+03 8.375229587889489835e+01 4.396547609818692415e+00 8.816691007548782011e+01 4.625983089963627393e+00 1.952132482275493075e+01 4.356614321730746253e-01 4.598710854503704204e-01 1.052338707627948233e+00
3.560000000000000000e+02 2.437920744507679501e+03 8.786449159644703855e+01 1.008212396559348534e+01 9.274830179099204486e+01 1.063949627328415914e+01 1.928950262788535142e+01 -2.276355519257091675e+00 -2.404575355564550154e+00 1.092548141412538421e+00
3.650000000000000000e+02 2.271034511654407197e+03 6.774443521622021080e+01 4.864716058140413857e+00 7.169373216723744235e+01 5.150844206813014026e+00 2.105764577788701075e+01 5.034980897275572742e-01 5.332946395844087029e-01 6.906707793453853439e-01
3.740000000000000000e+02 2.119225185673092710e+03 4.244432637183506074e+01 -1.365637341780111536e+00 4.503098864516690014e+01 -1.447136264807703521e+00 2.129487022402966190e+01 8.503908853222155173e-01 9.026849696577734505e-01 2.646892692231876398e-01
3.830000000000000000e+02 2.001846565061614228e+03 3.204326642308654982e+01 8.096640196268173995e+00 3.407438552194963677e+01 8.621473254788782015e+00 2.230334298244952151e+01 1.324717817164006828e+00 1.409433605526863253e+00 2.552763311994480921e-01
3.920000000000000000e+02 1.856326860809353093e+03 1.903409536941665081e+01 -4.523123022821603278e+00 2.030809910949010089e+01 -4.828695613954890220e+00 2.203914853142864771e+01 1.648045666863586500e-01 1.761613982671932088e-01 1.679708944597499531e+00
4.010000000000000000e+02 1.857277508068127190e+03 5.174375743687516405e+00 2.786311051308535625e+00 5.531403054211527781e+00 2.983474652641997960e+00 2.334093933232199447e+01 1.288147895905057627e+00 1.378167050336684962e+00 2.402778169290350485e-01
