# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
3.000000000000000000e+00 2.277924607502966410e+02 1.925889698185492094e+01 -6.910170320487705631e+00 1.922424864511845399e+01 -6.930113961898985764e+00 4.097744615707758165e+00 -1.021293360945628059e+00 -1.021254627746021049e+00 -1.213813301151294821e+00
7.000000000000000000e+00 8.107842724948174009e+02 8.306730218617852657e+00 -3.763431268434615506e-01 7.994746584021996227e+00 -3.895952203142457049e-01 1.220904701925030755e+00 1.584241700937260300e-01 1.584183780193003932e-01 2.168941038233231478e+00
1.200000000000000000e+01 7.743603944418680385e+02 5.133069135533261385e-01 -2.539293766027636234e+00 1.751699726379257471e-01 -2.372493706836132255e+00 7.877829097596273922e-01 1.438957644543553127e-01 1.438958772229254612e-01 4.130205133269507778e-01
1.700000000000000000e+01 9.482910529816215330e+02 -4.770050746546674603e+00 8.710235499202676479e+00 -4.715785325415859930e+00 8.561702285839867699e+00 7.511369128596154798e-01 3.557608778311069538e-03 3.559507282889925843e-03 4.437972710640439855e-01
2.200000000000000000e+01 6.300421316757485783e+02 1.011029914949078234e+00 -5.225485977527116965e+00 8.376247963818250764e-01 -5.327616874417525850e+00 9.117971250013077178e-01 -4.191301853396330046e-02 -4.192397733310310876e-02 2.435070760761932074e-01
2.700000000000000000e+01 9.281697910653531380e+02 1.119431194131645313e+01 8.257292363711746574e+00 1.079408350636635916e+01 8.006802488939390727e+00 7.587452824462523893e-01 8.646708132730610008e-02 8.650945925310633833e-02 3.182366504552502362e-01
3.200000000000000000e+01 1.141497967563333987e+03 -1.744302233707824001e+00 7.404033687872850766e-01 -2.217598500528581873e+00 5.346202984785157764e-01 7.514087620979427173e-01 1.280840455516261134e-01 1.281844823272464962e-01 3.823410975128580525e-01
3.700000000000000000e+01 1.267516620309123255e+03 9.186000411573044033e+00 5.727820146995859396e+00 8.736363244347220558e+00 5.357670003983808549e+00 6.875018850158871597e-01 -1.586944970123090326e-01 -1.588240964673750255e-01 4.299097898165555875e-01
4.200000000000000000e+01 1.470705377028377598e+03 -3.795084424902717690e-01 -1.795443796234184874e-01 -7.606560821389937166e-01 -6.275842345643383169e-01 5.429784122775748179e-01 1.437855842015102470e-01 1.439456095904474431e-01 6.108343068296649969e-01
4.700000000000000000e+01 1.367931530852065862e+03 5.310582936959509226e+00 7.863179619409121912e+00 5.215115255667381433e+00 7.319481277050433832e+00 8.853740537243466324e-01 1.073477435619170084e-01 1.075169219119284508e-01 2.373774999474727865e-01
5.200000000000000000e+01 1.400380440884491009e+03 -5.519242838297381937e+00 2.349006392627121187e+00 -5.231802938422971394e+00 1.805418685541799295e+00 7.715736787015241571e-01 -3.771666180693088177e-02 -3.779506653753109818e-02 3.741524186639536009e-01
5.700000000000000000e+01 1.773362622733483931e+03 -9.872838655867310464e+00 2.464972684773046208e+00 -9.367766391169478624e+00 1.993318661384688495e+00 5.379084131066290686e-01 -2.612256364705765194e-02 -2.618273819696180851e-02 2.773593153104289000e-01
6.200000000000000000e+01 1.609053221954652372e+03 4.158084365866493437e-01 2.174032224828344351e+00 1.001701437575778675e+00 1.762780500102490766e+00 9.190169191644497193e-01 -3.525262211134358621e-03 -3.548927705439722160e-03 3.314981841631396420e-01
6.700000000000000000e+01 1.898754842256351594e+03 -5.734951904016847735e+00 4.527081712369477984e+00 -5.224351105253782102e+00 3.986871095650904806e+00 1.045554537798729422e+00 2.627735214769444166e-04 2.459374138940928272e-04 1.274583433072185579e-01
7.200000000000000000e+01 1.975492240259494793e+03 -6.957157241332637909e+00 6.928086634714057723e+00 -6.321279337305847790e+00 6.554366935350836698e+00 6.041965906403716779e-01 3.131779982082134872e-02 3.142576673109749585e-02 2.233126507713810160e-01
7.700000000000000000e+01 1.795953749004605243e+03 -6.347555358774570777e+00 -3.506622438808908448e+00 -5.575731685021468209e+00 -3.774779338799052475e+00 1.071070031859731042e+00 -2.239992701874960468e-01 -2.249025727896096782e-01 2.206577243122092025e-01
8.200000000000000000e+01 2.202848631444555849e+03 -4.861905908911217544e+00 1.101680228910502324e+00 -4.134466637737184591e+00 9.081773881412884553e-01 9.913088414053833342e-01 -2.530976546040077380e-01 -2.542968978977406813e-01 3.914610434410797923e-01
8.700000000000000000e+01 2.398633286340507311e+03 -3.392119707292005071e+00 4.934937007593681813e+00 -2.294826184649147116e+00 4.826867786797076398e+00 8.826324820464638288e-01 -5.756499383188773238e-03 -5.787636494260050939e-03 1.356934112484686761e-01
9.200000000000000000e+01 2.388691908295960275e+03 -1.311780121815685618e+01 -3.109929417690465492e+00 -1.151178171615236145e+01 -2.952747851051610528e+00 1.145027090200562814e+00 6.693118538041531104e-03 6.769917239321421483e-03 1.994657782794189982e-01
9.700000000000000000e+01 2.633619691029435216e+03 -2.516231790859634287e+01 -4.557279828083856899e+00 -2.262293048011346031e+01 -4.333292942241284251e+00 1.367295773751453947e+00 1.453093726193190049e-01 1.462587582822054144e-01 3.077110455332316974e-01
1.040000000000000000e+02 2.973456633404750846e+03 -2.752719356031392195e+01 3.798007519979707425e+00 -2.423459961793196626e+01 3.509004074324969302e+00 1.313838987230105282e+00 2.784860485040731304e-02 2.816962719014232813e-02 3.452913354217874153e-01
1.130000000000000000e+02 3.216882305271924452e+03 -3.435887348704520150e+01 7.331913006576488145e-01 -2.999336840217875277e+01 3.186732035028103094e-01 1.502250440676207832e+00 -7.582050975432139128e-02 -7.639883241350992060e-02 2.799104557825408679e-01
1.220000000000000000e+02 3.455025965908786475e+03 -3.476707217803288330e+01 3.044654690305196532e+00 -3.014248808711305117e+01 3.094174800658433977e+00 1.549582695648122010e+00 9.334355760510569533e-02 9.439898753855910374e-02 3.845497568012072320e-01
1.310000000000000000e+02 3.691163318533439906e+03 -3.982816954187956782e+01 -5.282888425824129541e+00 -3.504724412306458703e+01 -4.816091925840315646e+00 1.348268456765231882e+00 1.657431582101497047e-02 1.675989477061984312e-02 9.338680938724261416e-02
1.400000000000000000e+02 4.209955132363823395e+03 -4.266857741969636919e+01 -6.268043014679583358e+00 -3.748061508148811072e+01 -5.948630034885002971e+00 1.482020838301466803e+00 -5.543437287417560255e-02 -5.610723619937626333e-02 3.196556693729591947e-01
1.490000000000000000e+02 4.245081754410139183e+03 -4.255075907268211921e+01 -8.148721621316370456e-01 -3.733949780191480272e+01 -5.618701947831676868e-01 1.622994359787913510e+00 -6.759014896991465127e-02 -6.867380870398537285e-02 2.760209302413697552e-01
1.580000000000000000e+02 4.777061732805074826e+03 -4.743997015565050646e+01 3.215215997538076742e+00 -4.201907984635625581e+01 3.559408128708039687e+00 1.462765272184501697e+00 -5.307079258388074788e-02 -5.402688052982759781e-02 5.557240094099274996e-01
1.670000000000000000e+02 4.954597521008135118e+03 -3.318873196598964626e+01 -1.094732840682223518e+01 -2.855108045984538379e+01 -1.060831997978775476e+01 1.208140232846454776e+00 -4.485040589303175736e-03 -4.507013462032021835e-03 2.587922519791260867e-01
1.760000000000000000e+02 5.037335353110149299e+03 -3.979409778800945219e+01 -1.704086528856526284e-01 -3.597140703627930236e+01 1.117953030345120169e-02 1.175791619861908721e+00 -1.763641908177116802e-01 -1.800195851622859444e-01 5.280065599924170794e-01
1.850000000000000000e+02 5.317135429524952087e+03 -2.461560796467100332e+01 5.193911743634540557e+00 -2.156734992944257812e+01 4.922284763257874118e+00 1.090704409871922964e+00 -1.804244459032244285e-01 -1.844760654676268485e-01 1.929387130052769295e-01
1.940000000000000000e+02 5.453646363512650169e+03 -1.120531819786146599e+01 -7.209413307038244068e-02 -9.251189477902645564e+00 -4.704924017757249055e-02 9.367407834237417852e-01 -1.032928076314469507e-01 -1.057637498028674711e-01 1.022610698141730445e-01
2.030000000000000000e+02 5.566928930686660351e+03 -7.617320412137126517e+00 5.158608033630082801e+00 -6.780972011688674250e+00 5.125155619229435189e+00 1.431213193410662887e+00 -2.490782383649006726e-01 -2.560134528799026810e-01 6.422999198661648590e-01
2.120000000000000000e+02 5.788721860928440037e+03 -4.025096971090182052e+00 -1.100636243991295338e+00 -4.524426620807679100e+00 -1.228645439874961554e+00 1.432824026478759727e+00 -8.943079620297461618e-02 -9.200753645067430431e-02 4.730241459222301881e-01
2.210000000000000000e+02 5.999378743217455849e+03 2.292144176470087302e+01 -2.834667113088351176e+00 2.087053093435441653e+01 -2.812525432130509984e+00 8.207661358125144524e-01 -2.036906891736328662e-01 -2.097133258039520498e-01 4.655626627900060210e-01
2.300000000000000000e+02 5.675633556024145037e+03 3.357864635710173928e+01 5.288078194478442740e-01 2.987666867298137774e+01 3.687839129092450041e-01 1.700199563610356401e+00 6.094163624420342873e-02 6.344612237450651671e-02 3.035466727087127170e-01
2.390000000000000000e+02 5.853286348758761051e+03 5.845090655982543382e+01 8.381505337970698299e-01 5.354072279122313205e+01 1.055476533894449398e+00 2.123908269263408144e+00 6.364755328107479793e-02 6.664103266004531290e-02 2.779646116973878422e-01
2.480000000000000000e+02 5.513095825256081298e+03 5.984209617177602070e+01 -8.102768342983232230e+00 5.371271308710674930e+01 -7.968669551639049331e+00 2.551672410751113507e+00 1.572296159599024523e-01 1.638704153405638464e-01 -7.388107991522718798e-02
2.570000000000000000e+02 5.272231322907972753e+03 6.401676927570674991e+01 -3.796579736429196217e+00 5.745906841443916591e+01 -3.314770072888757912e+00 3.181426966649358423e+00 4.855507805898729434e-01 5.063701478512317999e-01 3.933585861466203371e-01
2.660000000000000000e+02 5.022494859850842658e+03 7.127982618713031115e+01 7.233408219010533990e+00 6.317184249519656447e+01 7.278742596015446154e+00 3.715679911965358073e+00 2.490309633213718676e-01 2.613410967903560533e-01 3.442599357462781118e-01
2.750000000000000000e+02 5.000614008451720110e+03 1.067507320873332048e+02 1.962510299615250364e+00 9.819638353146211784e+01 2.006683480869583036e+00 5.019685810640307722e+00 3.786172211111556996e-01 3.974917446214108474e-01 3.095613547071798810e-01
2.840000000000000000e+02 4.585514354372403432e+03 1.093197716192827755e+02 -8.247361549444605089e+00 9.964265534243278921e+01 -8.349518461639075184e+00 7.628639460991258225e+00 -4.491437019689478727e-01 -4.730835393161468283e-01 3.034660811315766926e-01
2.930000000000000000e+02 4.313867287160635897e+03 1.141405787445254560e+02 -1.747857386571303628e+00 1.042649187934012360e+02 -1.273141324961851284e+00 6.893812750241811393e+00 6.285399142937375672e-01 6.634149193759333318e-01 -2.697802128477105321e-01
3.020000000000000000e+02 3.943499114613199708e+03 1.179850904622024075e+02 -3.547247505382408850e+00 1.085046471376503092e+02 -3.300071174293119913e+00 9.458738796507621061e+00 -9.921914578809412633e-02 -1.044889013334413946e-01 5.966922520428243892e-01
3.110000000000000000e+02 3.618361028151644405e+03 1.197091471366179007e+02 -1.682039519833496533e+00 1.104613201662351969e+02 -1.571530962932093045e+00 9.673670881998322812e+00 1.097152758300430797e+00 1.165817190901202949e+00 7.057395003161359703e-01
3.200000000000000000e+02 3.379750333998112637e+03 1.036111124956871663e+02 -2.991032500133934846e+00 9.440960231118907586e+01 -3.007550008269818775e+00 1.281297532039687326e+01 7.302942608997944340e-01 7.793068829536721198e-01 -3.054089095168762476e-03
3.290000000000000000e+02 3.207773179938581961e+03 1.134367638531094258e+02 3.549357068980777186e+00 1.058433649518675566e+02 3.267076665990933826e+00 1.564826998803291502e+01 -2.700223134331212194e-01 -2.890281780397678801e-01 1.022035266925961139e+00
3.380000000000000000e+02 2.822200017463756922e+03 8.881337349652412172e+01 1.187812540864890920e+01 8.190122595870118971e+01 1.161584489638310203e+01 1.378291811441940062e+01 2.651526275524772672e-03 3.286490832442269180e-03 -1.384977015562087466e-01
3.470000000000000000e+02 2.480427467288484877e+03 8.237082763110223027e+01 5.620686095556952644e+00 7.648031598670557685e+01 4.844186233768501104e+00 1.754864414463692412e+01 -1.429189402925388486e-01 -1.540242289038759593e-01 7.403818443596937859e-02
3.560000000000000000e+02 2.369890233092788094e+03 8.298085483860802469e+01 1.092646890035971374e+01 7.834860551150390506e+01 1.058565600652737082e+01 1.994474249092943552e+01 1.204840005359545940e-01 1.308485342702522258e-01 -6.979890691815847370e-02
3.650000000000000000e+02 2.208252943332268842e+03 6.115159586312532980e+01 2.650882435840355988e+00 5.751240389116966867e+01 2.515193052452028510e+00 2.024777600242458675e+01 3.845530642040025371e-01 4.184338420973076067e-01 1.016351580783949826e+00
3.740000000000000000e+02 2.070387010774175906e+03 4.077819818303795074e+01 -6.668541221689248122e-01 3.774822893349938369e+01 -9.567900398426457675e-01 2.109531531502453916e+01 1.631722221775813442e-01 1.782093290772908400e-01 6.344676076847696744e-02
3.830000000000000000e+02 1.936720653820126017e+03 3.084225904622701364e+01 8.143630511551107176e+00 2.926853171802532216e+01 8.313733151255213727e+00 2.150867321767044871e+01 5.933118238542136602e-01 6.511591446818576490e-01 -5.748782031135165616e-01
3.920000000000000000e+02 1.798218700345638354e+03 1.495090810838836859e+01 -4.523374929922856502e+00 1.427956717517895768e+01 -4.970821073985810301e+00 2.204250527774647139e+01 7.544732240971956383e-01 8.300911565785042967e-01 -1.914011577383989637e+00
4.010000000000000000e+02 1.773567389920840469e+03 2.038565156419606339e+00 1.595084972237418741e+00 2.054703137959367876e+00 1.465245977292347845e+00 2.213662068473234967e+01 -4.362068223043991111e-01 -4.814703305859693305e-01 3.932572553387201353e-01
4.100000000000000000e+02 1.733822911079485038e+03 -1.821811493881826394e+01 5.728861247871738449e+00 -1.754024179429193353e+01 5.772170103143269060e+00 2.244206840431714411e+01 -6.409928571499624583e-01 -7.125001420753981352e-01 -5.273428201627988754e-01
4.190000000000000000e+02 1.764530005892650479e+03 -3.542599276713755785e+01 1.919768976453887888e+00 -3.432237945321023886e+01 1.882469429822896556e+00 2.053404161172171527e+01 2.343134185701962746e+00 2.609692112428400268e+00 -6.257372700214110413e-03
4.280000000000000000e+02 1.801868858542918815e+03 -5.173316505088511974e+01 -8.008940174830346592e+00 -5.071634456407613811e+01 -8.419936199847510849e+00 2.067071739297290023e+01 1.137125616659836247e+00 1.271707986139940960e+00 7.134896548400545546e-01
4.370000000000000000e+02 1.789105193426980804e+03 -5.188492893591430288e+01 2.543305852490956198e+00 -5.018085304319415485e+01 3.176426158074276973e+00 2.101528879802133076e+01 -1.696683407113188935e-01 -1.925757955132965660e-01 2.583374696730169617e-01
4.460000000000000000e+02 1.902341909518524744e+03 -5.844235484709348327e+01 1.033843779113931438e+00 -5.645513739165561873e+01 1.051642083510268000e+00 1.455768790896706832e+01 5.156185928099003002e-01 5.792584145896005898e-01 9.464984354770207553e-02
4.550000000000000000e+02 2.069031289165488488e+03 -7.627390402541323056e+01 -4.346554932789242209e-01 -7.512392986992126964e+01 -9.266473053175001695e-01 1.756750555753463772e+01 2.751967231731967445e+00 3.125473910467381433e+00 6.643852557227133415e-01
