# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
3.000000000000000000e+00 2.796154447975530388e+02 5.581814136690918637e+00 -3.026847461874682566e+00 5.582106774735389187e+00 -3.026639420042469997e+00 1.603112924871455069e+00 -2.423784753621545940e-01 -2.423852630036752165e-01 -4.138256508453264648e-01
7.000000000000000000e+00 8.945523747565233634e+02 3.976085153604391742e+00 2.091673012173302038e+00 3.976300163135140675e+00 2.091801855017555667e+00 5.345942839112989287e-01 2.672594465237295228e-02 2.672946689489471422e-02 8.632445825278336482e-01
1.200000000000000000e+01 7.754627683516873731e+02 3.115483921828526626e+00 -9.506110471457086541e-01 3.113295090889786287e+00 -9.506766849209876691e-01 5.061698593877345109e-01 4.362902644819868780e-02 4.364158480146274055e-02 3.141939844616076227e-01
1.700000000000000000e+01 1.053114190597777906e+03 -6.874876313383199822e+00 -2.585041065671440097e-01 -6.875586729134778530e+00 -2.584988781298164229e-01 4.029480212807636796e-01 -1.236869958802076438e-02 -1.237115756482364687e-02 1.904896375190966717e-01
2.200000000000000000e+01 6.910714748499460711e+02 -1.130785883829950933e+00 -5.139054086280181455e-01 -1.130134031236800229e+00 -5.140476938828032472e-01 4.138730140658483103e-01 2.516999124977702465e-02 2.518380165201617588e-02 2.792151091448953903e-01
2.700000000000000000e+01 9.467642099531333315e+02 2.614789493759961836e+00 1.341267935496993191e+00 2.616516507131411373e+00 1.341692906223881154e+00 4.292281052130019203e-01 9.145008110771724735e-03 9.150306800334391186e-03 2.061741645434730097e-01
3.200000000000000000e+01 1.151127718610267948e+03 8.978654851183058838e-01 1.613236326583538327e+00 8.978041182722147351e-01 1.614221850720002793e+00 3.823229673668649409e-01 2.101314676493653416e-02 2.103538916684147622e-02 2.341401661752523233e-01
3.700000000000000000e+01 1.260961260346499330e+03 4.864277451851857670e+00 3.592326101417799289e-01 4.869426193938059200e+00 3.598548114764962280e-01 3.023537252735482017e-01 -1.665400474830353722e-02 -1.668114921338081230e-02 1.789372021297974125e-01
4.200000000000000000e+01 1.474488509306226433e+03 -1.854819157994590073e+00 1.270976276766264901e+00 -1.858275961780105900e+00 1.272968769135282674e+00 2.995960496524843752e-01 7.437374277966546550e-03 7.439161290727580589e-03 1.892509935163698143e-01
4.700000000000000000e+01 1.425368805899759991e+03 2.324481450422641426e+00 2.861075206920879133e+00 2.329546605797983894e+00 2.866954810496486150e+00 3.877475725809599316e-01 -6.522276146015660095e-03 -6.536248903301841891e-03 1.478227943640677278e-01
5.200000000000000000e+01 1.363728942334569638e+03 2.324710666145701765e+00 -1.782699864504581344e-01 2.330877574924973494e+00 -1.787466984137810189e-01 3.988732405473501275e-01 -5.207768481410186834e-02 -5.221483805776734599e-02 1.997717287826182575e-01
5.700000000000000000e+01 1.719076136043336646e+03 -4.280664445324412704e+00 1.287074288381148124e+00 -4.293686018963526863e+00 1.291683359457724167e+00 4.400097406656110488e-01 1.211788381452307863e-02 1.216464204524043621e-02 1.490228180727761753e-01
6.200000000000000000e+01 1.648092976707796652e+03 -8.012722595154648797e-01 2.150900773647237862e+00 -8.041436708288456359e-01 2.158600432155985516e+00 5.710451205677185005e-01 -3.427702538146044919e-02 -3.440089290550128048e-02 9.736089045866735958e-02
6.700000000000000000e+01 1.884361641951447837e+03 -3.033208974881028919e+00 1.027843301826309119e+00 -3.045126375220867931e+00 1.031673604126978949e+00 5.571170565688123855e-01 1.916299643678601519e-02 1.924257854567316267e-02 8.232798387292961095e-02
7.200000000000000000e+01 1.982355533271893819e+03 -9.259582629774616436e+00 4.456349714262948680e+00 -9.302706031242179208e+00 4.477018535731414950e+00 4.710464577912669704e-01 -1.059931379816349273e-01 -1.064892993521361075e-01 1.718687870777831639e-01
7.700000000000000000e+01 1.734367277714741476e+03 -9.388232090208354919e+00 -9.358040871464397004e-01 -9.440088072830336685e+00 -9.405735516600863821e-01 7.120690561084896952e-01 1.650516840794083451e-02 1.656870482992449031e-02 1.669980099361681736e-01
8.200000000000000000e+01 2.125943258576745848e+03 -1.729749134259013443e+00 1.190915832848837841e+00 -1.741490923199543683e+00 1.198582513711994091e+00 6.434333886107204137e-01 5.107483592173264059e-02 5.134063111622686609e-02 -3.018951096798783845e-02
8.700000000000000000e+01 2.381543120949932927e+03 -7.302663447400452590e+00 8.431984345754947596e-02 -7.353407380108292202e+00 8.434360831383429236e-02 6.975196618338030952e-01 3.518241984001239109e-01 3.541792568489083304e-01 8.280923337632178916e-02
9.200000000000000000e+01 2.395671285367236123e+03 -2.084878332511578591e+01 1.913793009364576636e-01 -2.100864871277530455e+01 1.939128587352289546e-01 9.630980731904731362e-01 1.111396027726352376e-01 1.120001974894170582e-01 2.082185985623986879e-01
9.700000000000000000e+01 2.548007077218172071e+03 -1.974914207799883314e+01 -1.720607914046756282e+00 -1.991760894553421224e+01 -1.735146213964749107e+00 8.314316646441296532e-01 -1.279931341351355223e-01 -1.290613893265331602e-01 1.509875938698830855e-01
1.040000000000000000e+02 2.975628603336124343e+03 -2.442477967282136575e+01 3.688096208310228663e-01 -2.466583733138936907e+01 3.727204973060381787e-01 9.889741588939495731e-01 2.177574812463750342e-01 2.197997479144571387e-01 2.166832726292912403e-01
