# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
3.000000000000000000e+00 5.545118149218101280e+02 4.075826101747065167e+01 -2.330585703192464564e+01 4.080604240210794131e+01 -2.333272551082181323e+01 1.052292892375755073e+01 -2.318081953096491787e+00 -2.317996727191865336e+00 -3.389273959577804973e+00
7.000000000000000000e+00 9.891651708992091017e+02 1.222766978162952789e+01 -9.109301237359943570e+00 1.223111355328492067e+01 -9.113580822674148152e+00 4.543217185470247443e+00 -4.013065157373073011e-01 -4.011533186427899689e-01 6.329929385817829157e+00
1.200000000000000000e+01 1.060192672279144290e+03 1.342969331760587615e+01 -5.599383458163825544e+00 1.343152317960638698e+01 -5.599060376891242363e+00 2.896833347782763468e+00 4.249741745555363215e-01 4.248590590693918645e-01 2.187405135699043601e+00
1.700000000000000000e+01 1.104291171285778319e+03 4.673569846360839941e-01 1.379281581283411029e+01 4.579716229667699645e-01 1.380744136583807702e+01 1.780813614702359660e+00 1.857630554929007860e-01 1.857275122172806769e-01 2.525520801646525371e+00
2.200000000000000000e+01 8.700887532700737665e+02 1.540619173641046391e+00 -3.326905652307887262e+00 1.537164017086732226e+00 -3.337635878319535898e+00 3.473201941365780421e+00 -1.072399514846817115e-01 -1.072511620375228292e-01 1.230716802778440755e+00
2.700000000000000000e+01 1.087616342026567736e+03 1.092169191300855147e+01 1.113510560754221501e+01 1.092994874818234408e+01 1.114732330455233367e+01 2.778055333727941445e+00 5.075144329082046379e-01 5.075640079474188493e-01 1.393284082785378519e+00
3.200000000000000000e+01 1.279945516254802897e+03 4.626333776150529431e+00 3.292828663534496769e+00 4.624940411732912260e+00 3.295647214364081812e+00 2.331568268205047811e+00 1.835019182072170074e-01 1.835710625044046918e-01 1.719460730481592536e+00
3.700000000000000000e+01 1.382639510958978008e+03 1.461408086174827758e+01 5.492145574965336507e+00 1.463314006127413691e+01 5.497387383953398654e+00 1.976881988496750564e+00 1.445049346566272819e-01 1.446113174587587147e-01 1.722294460528605908e+00
4.200000000000000000e+01 1.539212586494456446e+03 6.143861557358601955e-01 -1.096377373827450041e+00 6.077399607150220096e-01 -1.103160125096535493e+00 1.929424755951286041e+00 2.272510988222271044e-01 2.274236124326182440e-01 1.541902834688393176e+00
4.700000000000000000e+01 1.434088348602598444e+03 1.002339406675072553e+01 5.891008396347863219e+00 1.004104252918610385e+01 5.900084745015926835e+00 2.074538774787115791e+00 -3.408852217467009393e-01 -3.411629681787800017e-01 1.274442105908133005e+00
