# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
3.000000000000000000e+00 1.693810223806070212e+02 3.846571900288324741e+00 -2.925185101116920094e+00 4.470836342280198217e+00 -3.439427647573799707e+00 2.531771493713119714e+00 8.443363980183106188e-01 8.442688547252016340e-01 -3.503506999874221317e-01
7.000000000000000000e+00 7.117234019157839384e+02 3.112909427890061753e+00 2.956359847061523105e+00 3.658477386187482860e+00 3.579854921435614123e+00 -1.718228202584163034e-01 1.533620239517696771e-02 1.532887452827035382e-02 2.204952022555987656e-01
1.200000000000000000e+01 6.113737582183081258e+02 7.063722159670952072e-01 -4.006949712966303423e-01 9.213002460701747998e-01 -3.983335134378652720e-01 3.421133257230816183e-01 -8.939921380639197224e-02 -8.939902348234583795e-02 2.001814205714523287e-01
1.700000000000000000e+01 8.686407894575370392e+02 -8.414977111367749618e-01 4.243417291221887488e+00 -9.300428185572808815e-01 4.811416694309330389e+00 3.032034326218465692e-01 -6.217628135485196716e-02 -6.218471461753902890e-02 3.516175155352462833e-01
2.200000000000000000e+01 6.841557758790584103e+02 7.619873896672670899e-01 -2.593191417440389168e-01 8.888270422628892220e-01 -1.012783965015621873e-01 5.877324316237813040e-01 1.929161955886209978e-01 1.929856115528384708e-01 2.465045064220018622e-01
2.700000000000000000e+01 9.559930167594036448e+02 1.599548906978182972e+00 8.233099655439908293e-01 1.910398289384868775e+00 9.722744575918513821e-01 4.528475926164115539e-01 1.199145405303242845e-01 1.199901967460987595e-01 1.497158327912087583e-01
3.200000000000000000e+01 1.139390177565062913e+03 5.224584109700112222e+00 1.455360802059114000e+00 6.291347285794975264e+00 1.687651999885488197e+00 2.097714991596891509e-01 3.735137827171271935e-02 3.739246949169513362e-02 1.835182157966070704e-01
3.700000000000000000e+01 1.263140084936047742e+03 4.140414551805023713e+00 -1.003052685417465728e+00 4.846728344329587657e+00 -1.133873549341729570e+00 3.324372259471500834e-01 -2.323184776618639202e-02 -2.327343187134183616e-02 2.490926193358974083e-01
4.200000000000000000e+01 1.440611525847598841e+03 3.900094246559377975e+00 2.070396967049200843e+00 4.826151632317118079e+00 2.355214116166286953e+00 4.983164642390575105e-01 3.120881653301281825e-02 3.127421577259919400e-02 3.868615034635152772e-01
4.700000000000000000e+01 1.358363461758649009e+03 4.681056367118795469e-01 -1.577527693663719255e+00 4.294884799850141599e-01 -1.783482670173760498e+00 5.478286430357801606e-01 -1.325032030477137357e-01 -1.327621869218651995e-01 1.577940986617227814e-01
5.200000000000000000e+01 1.416377112740968414e+03 1.128307329508347445e+00 2.742348419372837576e+00 1.456253974528117556e+00 3.111420442474448933e+00 3.242826187534962323e-01 -9.471275389472563755e-02 -9.496589097780018529e-02 1.612292819407876721e-01
5.700000000000000000e+01 1.736921662989703009e+03 -3.163675260062852601e+00 -3.453075646873523308e+00 -3.761379941860001797e+00 -3.847273307758887206e+00 4.778305031486251298e-01 -1.122549417218030171e-01 -1.126148395501414823e-01 1.356511169562720220e-01
6.200000000000000000e+01 1.626705653269211780e+03 -6.370114843769419721e+00 3.437997323769419467e+00 -7.685913644696253932e+00 3.923102707175137649e+00 7.105813031248553457e-01 -7.219769954591562233e-02 -7.248693644763723465e-02 8.882497413284132226e-02
6.700000000000000000e+01 1.893094263651729534e+03 5.985890094167864994e-01 -1.925707120746287249e+00 6.360246790602938072e-01 -2.287704459427356340e+00 3.746702801400917937e-01 -9.189070571893913353e-02 -9.227618605378842820e-02 1.359530880559698951e-01
