# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
3.000000000000000000e+00 1.642082265050606225e+02 1.282195758590747836e+01 -8.763032620970182540e-01 1.087935970532997310e+01 -4.508371182703440616e-01 2.610494235414892561e+00 -4.411101413715690645e-01 -4.410842733258840132e-01 -4.192083177384908210e-01
7.000000000000000000e+00 7.128580844237275187e+02 6.224389563889099364e+00 3.560264725427867205e+00 5.235765737462452662e+00 3.219593617491970150e+00 5.884689810709946289e-02 -2.224569310063734262e-02 -2.223839540182923763e-02 3.233811236968485714e-01
1.200000000000000000e+01 6.180377251874326703e+02 4.046296255370478434e-01 -5.149816150708484308e+00 3.599592425286203823e-01 -4.617888071661324645e+00 3.797938571746629632e-01 3.298293005539268963e-01 3.298285086073686201e-01 2.163891894084029877e-01
1.700000000000000000e+01 8.705765866338709884e+02 -1.688808469846628579e+00 2.977954368501282367e+00 -1.496857599374213699e+00 2.618940335330405933e+00 3.175758339331348212e-01 -2.884366130590738236e-02 -2.884541587095855106e-02 2.803570535602565861e-01
2.200000000000000000e+01 6.799937855930959358e+02 -2.057624568053644687e+00 -2.409553549442731146e+00 -1.872911208945205574e+00 -2.078070877791789783e+00 5.551878162570684783e-01 -8.562333786330549035e-02 -8.565329970845106389e-02 1.376989002343162460e-01
2.700000000000000000e+01 9.537703426304830145e+02 8.939011688377833664e+00 7.695095776527797860e+00 7.718233464482317174e+00 6.470550883235233641e+00 3.730590005044304158e-01 2.092206097523493236e-01 2.093489611371467662e-01 2.052342628116641809e-01
3.200000000000000000e+01 1.135397223267972095e+03 2.592790039777997935e-01 8.708565783976321972e-01 4.748190700005509857e-02 5.812926097795662050e-01 2.458123321594675448e-01 -1.078426271269494231e-02 -1.078695355091518863e-02 2.511700223934282827e-01
3.700000000000000000e+01 1.262359529370672590e+03 8.075188677830047013e+00 4.107728128195182293e+00 6.755033884512880782e+00 3.462179593651863563e+00 2.900262805048997028e-01 5.140043037498182033e-02 5.148119184337737048e-02 1.404336981597248679e-01
4.200000000000000000e+01 1.443107907445177716e+03 2.897942214740398814e-01 1.011465095250987378e+00 1.997941858619391442e-01 7.648219469281872795e-01 4.204607474526296795e-01 6.007937602562538754e-02 6.018660506059143878e-02 3.069559963610040132e-01
4.700000000000000000e+01 1.357552672652984938e+03 4.928724939105338265e+00 6.912579368018424653e+00 4.312764735256669368e+00 5.941255669738962908e+00 5.562699162760507132e-01 -3.624681142093282016e-02 -3.630189025800487773e-02 2.020096469994719923e-02
5.200000000000000000e+01 1.417970121641553533e+03 -7.870275365404438617e+00 3.778388360688616388e+00 -6.761392996807868094e+00 3.068011146640339692e+00 1.753870695445519379e-01 3.548952325494099391e-02 3.557508600526722298e-02 6.606028479769444905e-02
