# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
3.000000000000000000e+00 1.642082265065753859e+02 1.282195758590623491e+01 -8.763032620999647859e-01 1.087935970535992247e+01 -4.508371182250319187e-01 2.610494235418307163e+00 -4.411101413046932262e-01 -4.410842736170810796e-01 -4.192083177381042969e-01
7.000000000000000000e+00 7.128580844301947081e+02 6.224389563878331977e+00 3.560264725423315291e+00 5.235765736961441874e+00 3.219593618183233641e+00 5.884689810493590884e-02 -2.224569236286189772e-02 -2.223839579448650197e-02 3.233811236960553170e-01
1.200000000000000000e+01 6.180377252048415357e+02 4.046296255372581752e-01 -5.149816150727576591e+00 3.599592408164077884e-01 -4.617888069309507237e+00 3.797938570623168308e-01 3.298293003288781944e-01 3.298285079444444601e-01 2.163891893370715747e-01
1.700000000000000000e+01 8.705765866680201270e+02 -1.688808469704605075e+00 2.977954368593572987e+00 -1.496857600559154067e+00 2.618940338903685383e+00 3.175758334902970548e-01 -2.884366308566056400e-02 -2.884541359799668719e-02 2.803570534453779795e-01
2.200000000000000000e+01 6.799937856510525762e+02 -2.057624567479842348e+00 -2.409553549387029925e+00 -1.872911196437850423e+00 -2.078070873494661797e+00 5.551878157818913584e-01 -8.562334781164580855e-02 -8.565329564840221122e-02 1.376988998525364438e-01
2.700000000000000000e+01 9.537703427190557477e+02 8.939011688802482425e+00 7.695095776573488422e+00 7.718233475220964479e+00 6.470550889886006019e+00 3.730589999895471687e-01 2.092205954954393654e-01 2.093489701748990350e-01 2.052342617692349269e-01
3.200000000000000000e+01 1.135397223394868433e+03 2.592790046045883590e-01 8.708565784159544299e-01 4.748192046274411077e-02 5.812926121111958722e-01 2.458123319792549777e-01 -1.078428877862176206e-02 -1.078695248508596341e-02 2.511700202584570274e-01
3.700000000000000000e+01 1.262359529541460233e+03 8.075188678094772143e+00 4.107728128672081702e+00 6.755033879891266579e+00 3.462179598150720405e+00 2.900262800796494789e-01 5.140040903222301699e-02 5.148119069396270980e-02 1.404336957482074100e-01
4.200000000000000000e+01 1.443107907668847929e+03 2.897942221291262554e-01 1.011465095458376151e+00 1.997941980471085177e-01 7.648219376521169233e-01 4.204607467152192690e-01 6.007935469494294495e-02 6.018659019640176799e-02 3.069559947514227671e-01
4.700000000000000000e+01 1.357552672938602427e+03 4.928724939921137249e+00 6.912579368233755517e+00 4.312764757487318690e+00 5.941255653025526939e+00 5.562699149806397125e-01 -3.624682344039522469e-02 -3.630188726054295323e-02 2.020096521874526624e-02
