# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
3.000000000000000000e+00 2.302480337361226645e+02 1.267492596051629938e+01 -7.643990942514901299e+00 1.272910185725993948e+01 -7.657911684197732605e+00 4.038858453914865088e+00 -5.683710838140734189e-01 -5.683576170693952490e-01 -1.266205792677837172e+00
7.000000000000000000e+00 8.122014315310714210e+02 3.131182417257256212e+00 -1.352997342768408551e+00 3.339830745677001111e+00 -1.458802066851679458e+00 1.385329964816617077e+00 7.743317611920479127e-02 7.743419533303089186e-02 2.141701194409961762e+00
1.200000000000000000e+01 7.696401440806273513e+02 8.601871276531184662e+00 -2.215662665949719834e+00 9.070389945634451223e+00 -2.364181064711888158e+00 8.141917433406764548e-01 1.135724376266080415e-01 1.135758300015028005e-01 3.807731087465470732e-01
1.700000000000000000e+01 9.442556933745732977e+02 -3.090237923682185084e+00 2.397244737395666792e-01 -2.849593461245839787e+00 4.128336963821919309e-02 5.034096601485124056e-01 4.909698513394032682e-02 4.910408145487955844e-02 3.402287556963918269e-01
2.200000000000000000e+01 6.359735966557382199e+02 4.793722687028886265e-01 -2.859528432056451575e+00 7.697525620914354993e-01 -2.945356084515431405e+00 8.630883167573666359e-01 2.283767016929675042e-01 2.284420841474987252e-01 4.434985797785537254e-01
2.700000000000000000e+01 9.306410671232263212e+02 4.922837246281364543e+00 8.996107911431870940e-01 5.318024720876547207e+00 8.360677918068841752e-01 8.256723691809995103e-01 1.924164855073434710e-02 1.925278694566081444e-02 4.683353982196040155e-01
3.200000000000000000e+01 1.146546739045690174e+03 4.452364980001760841e+00 2.599742153080633056e+00 4.969480378976721013e+00 2.677438666379709620e+00 7.004896222094777469e-01 8.751210251858516920e-02 8.756713621178298379e-02 4.372844697674156400e-01
3.700000000000000000e+01 1.269028889624379644e+03 5.349610224318075424e+00 2.999582597523955257e-02 5.880189886593023552e+00 6.613754141831891531e-02 6.603792853336690749e-01 2.650257180229009801e-02 2.652609892513186837e-02 4.507842891201735425e-01
4.200000000000000000e+01 1.468025433825544724e+03 -7.729840614388283626e-01 -2.493072281551562130e-01 -3.799565216607708740e-01 -1.515268524718987320e-01 5.104660584666043111e-01 2.290034307047651152e-01 2.292653896646556499e-01 3.767390915913083616e-01
4.700000000000000000e+01 1.363425962983176987e+03 4.929003182527436522e+00 2.385620034681699586e+00 5.315764123930295071e+00 2.602636945503813415e+00 7.536108293129839542e-01 -2.635927713595498378e-03 -2.635618770534661846e-03 4.519060179352377693e-01
