# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
3.000000000000000000e+00 4.041670396686063782e+02 3.595096612683963411e+00 2.114395846097054221e+00 3.595216846944699896e+00 2.114545394397694178e+00 9.422729055278941113e-01 3.242017462546374351e-01 3.242057337593843847e-01 1.925023870370962953e-01
7.000000000000000000e+00 8.772977971759064530e+02 5.640103561581241820e+00 3.046492090630610328e+00 5.641057710825578830e+00 3.047039072821614347e+00 4.778073659812734908e-01 -1.855006400980722947e-02 -1.855098458979278359e-02 2.388676945054315492e-01
1.200000000000000000e+01 7.843534988043687690e+02 1.226939918850887379e+00 -1.068714344474332112e+00 1.227346164232882453e+00 -1.068917059061154529e+00 3.379822848025931248e-01 -1.378864739460479091e-02 -1.379002825703486493e-02 1.258088532458913056e-01
1.700000000000000000e+01 9.716585957318744704e+02 -2.553388722813153766e+00 1.394993275547867784e+00 -2.554832246469883383e+00 1.395722828534062154e+00 1.838129275844098132e-01 -1.200796203971516915e-02 -1.201058426532477727e-02 2.325389553204522675e-01
2.200000000000000000e+01 7.300110548495374587e+02 3.286547259844932789e+00 -3.386961815114928331e+00 3.289072434287352742e+00 -3.389813961044611634e+00 2.822526923146382316e-01 -3.396016023013802981e-02 -3.399550661772456767e-02 1.901154887810401761e-01
2.700000000000000000e+01 9.565623792602269759e+02 9.239224654642883561e-01 1.051006176335502529e+00 9.248837614292207965e-01 1.052283981538952196e+00 2.650950962408870626e-01 -7.316921050973271496e-04 -7.365103584174081735e-04 1.578481303148399073e-01
3.200000000000000000e+01 1.125279984134297820e+03 3.581487755155388975e+00 2.755814104483461868e+00 3.587249511408951541e+00 2.760588996401366124e+00 2.352893824193877381e-01 -1.089822314978838790e-05 -1.588324750103481398e-05 1.333681546210456759e-01
3.700000000000000000e+01 1.196842843887761092e+03 2.622260135772277234e+00 -6.375695111686772165e-01 2.627410606864471365e+00 -6.392471754856026145e-01 1.740546239831182729e-01 4.561798854539635822e-02 4.570227553081694649e-02 1.201328099751415301e-01
4.200000000000000000e+01 1.440556123021186750e+03 2.517875208455804703e+00 3.510842278164549413e+00 2.525246615057362032e+00 3.520594983244595966e+00 2.542777342899901205e-01 -5.991541278284565758e-02 -6.008362817652652954e-02 1.605470644352769427e-01
4.700000000000000000e+01 1.375824637400269012e+03 -3.595199704127556573e-02 -8.540438575443207725e-01 -3.561297740978223991e-02 -8.572561419105297897e-01 2.141907024429647866e-01 -2.274359751987803380e-02 -2.283724458962848453e-02 1.018245499993416237e-01
5.200000000000000000e+01 1.343652890036946701e+03 -6.201317261763492628e-01 1.486084964301831235e+00 -6.233079468561474323e-01 1.492462851858231021e+00 2.873250923506257548e-01 3.066400678801928237e-03 3.090490017992378411e-03 1.296030971903618378e-01
5.700000000000000000e+01 1.621160409681166129e+03 -1.757727044377638048e+00 -4.295658567209641454e+00 -1.765297199009763673e+00 -4.317906022878640115e+00 3.924510672579109016e-01 4.087645511204675980e-02 4.107251354100392715e-02 2.213020741986232720e-01
6.200000000000000000e+01 1.682391306203037402e+03 -4.297856323021354896e+00 3.591165332958069278e+00 -4.323894763685320441e+00 3.612268526994518059e+00 4.400185327880378194e-01 6.090481924021197424e-02 6.126463454204519182e-02 -5.286436764785247544e-02
6.700000000000000000e+01 1.862837198336888150e+03 6.711148454633234506e-01 -2.727376429624653209e+00 6.764179497736428903e-01 -2.746273470046979970e+00 4.576337259942159785e-01 -9.779400589492082130e-02 -9.844366958841517523e-02 1.641054248412804062e-01
7.200000000000000000e+01 1.998406547756787404e+03 -9.728224493412456653e+00 1.339736186659702621e+00 -9.805921125216281453e+00 1.350529675099026550e+00 5.251822430073815884e-01 -1.731647674718420071e-01 -1.745267812521680284e-01 1.537308519283603347e-01
7.700000000000000000e+01 1.792748139618393452e+03 -4.554736467347888507e+00 6.076666415031122259e-01 -4.596782956782062612e+00 6.132068211539370983e-01 5.232017511800250986e-01 1.241274291601921070e-01 1.252686545025961384e-01 1.256653935543575705e-02
8.200000000000000000e+01 2.191701850475999890e+03 -1.188796542899231312e+01 -4.329477258073440860e-01 -1.200884820745516812e+01 -4.375532000941472210e-01 7.272261634872391189e-01 -6.406757750406225083e-02 -6.471964896691687064e-02 1.430619640389039493e-01
8.700000000000000000e+01 2.352715397312781079e+03 -1.547495599866512350e+01 -1.110082410377322554e-01 -1.565324920741263170e+01 -1.124393554293271202e-01 5.991604777827472805e-01 -5.666632876925009610e-02 -5.733650376841110952e-02 7.491450734538804279e-02
9.200000000000000000e+01 2.461676270235779612e+03 -2.144515785102203154e+01 -7.404787015616496326e-01 -2.172110477033627518e+01 -7.496193245542943639e-01 8.420162441210299331e-01 -1.590616444050334949e-02 -1.611221681360096997e-02 5.308704982124978766e-02
9.700000000000000000e+01 2.499855012218243246e+03 -2.692979114379325978e+01 2.355457815188663595e+00 -2.731518391292534531e+01 2.387752995454963667e+00 6.169347858217608671e-01 8.239403802241258845e-02 8.361177647540132818e-02 1.773308726457132334e-01
1.040000000000000000e+02 2.968853766903835549e+03 -2.602769718498849727e+01 1.110323944804592733e+00 -2.645506784458876837e+01 1.129220390169627830e+00 9.761994552018804505e-01 7.557936892767662222e-03 7.533590473881184892e-03 1.519233058824303317e-01
1.130000000000000000e+02 3.241984626338908129e+03 -3.002050963921787741e+01 3.093441245945012685e+00 -3.060144151379361332e+01 3.156628187840345934e+00 1.034594609472586191e+00 -1.304868470017953030e-01 -1.329774867439013075e-01 1.141064086505236552e-01
1.220000000000000000e+02 3.394769786867559560e+03 -3.769773620496792432e+01 6.131270467132013957e-01 -3.853640826988249302e+01 6.259967838454127964e-01 1.321274388715596215e+00 -1.143204313423683977e-01 -1.166631474607185831e-01 2.619950832831671184e-01
1.310000000000000000e+02 3.597434940316725260e+03 -4.190747454163900443e+01 5.355647121377105968e+00 -4.299013165528731406e+01 5.492863453403861840e+00 1.296548817378352148e+00 -1.276218701094754548e-01 -1.307365746457316569e-01 2.508485350559512828e-01
1.400000000000000000e+02 4.232582254001779802e+03 -3.850641084293952332e+01 3.453472957970757928e+00 -3.963495525735710601e+01 3.552765380350013213e+00 1.062772971393774135e+00 -2.317915701439198228e-01 -2.388153711236861709e-01 1.756998724189421379e-01
1.490000000000000000e+02 4.248906813136349228e+03 -4.416361665607516329e+01 8.267408298346941464e+00 -4.563021290367896654e+01 8.545350086764189612e+00 1.018399080318167726e+00 -1.445680271382877025e-01 -1.493441986828830670e-01 -1.776813164935346634e-02
1.580000000000000000e+02 4.787917081938354386e+03 -5.128621327141444652e+01 -5.249074883943894321e+00 -5.320227736701710342e+01 -5.440662139578610557e+00 1.311229539564763957e+00 -9.879632246800351680e-02 -1.023871256771045346e-01 -9.196836827655787555e-03
1.670000000000000000e+02 4.855070308664083313e+03 -4.976982327178609467e+01 8.166977748776780288e+00 -5.183893535690089749e+01 8.500629947959223998e+00 1.069179616434738911e+00 -9.452777675320375717e-02 -9.859206251499970375e-02 1.389308260441616816e-01
1.760000000000000000e+02 5.125535374120657252e+03 -4.576984011550578657e+01 -2.452281343396123248e+00 -4.788863952587844608e+01 -2.564915340076644235e+00 1.011105091700712277e+00 -3.529716794612768049e-02 -3.670343825325382558e-02 4.954629651615153896e-01
1.850000000000000000e+02 5.389169470608280790e+03 -3.042427992544964610e+01 7.037327445165247219e+00 -3.198203467568843550e+01 7.394857661170752827e+00 6.627987592722103249e-01 -2.874473229648011330e-02 -3.024050377939879741e-02 8.585896497413270101e-02
1.940000000000000000e+02 5.559596608415494302e+03 -2.786240587720372375e+01 4.862711835231682045e+00 -2.942439130834327443e+01 5.138731173656059248e+00 1.075941012358394344e+00 -1.075671725617172725e-01 -1.135232708610810354e-01 -2.634350909388039619e-01
2.030000000000000000e+02 5.456751469385840210e+03 -1.090488092083407956e+01 -1.227679409617711714e+00 -1.157436101909707737e+01 -1.310164240339680930e+00 7.816473471154832264e-01 1.883128729151926917e-02 2.010976712842472980e-02 2.541930156873079688e-02
2.120000000000000000e+02 5.647584761473709477e+03 3.721145464735600705e-02 4.659689858291599096e-01 4.917470581624223264e-02 5.016123070302044296e-01 1.297732021012671488e+00 1.178329963858378987e-01 1.264464253588913900e-01 2.854361484827751538e-01
2.210000000000000000e+02 5.833169362421777805e+03 1.777266907432944976e+01 4.878701712409219127e+00 1.906524643679867026e+01 5.220906975811842266e+00 9.261147688863198280e-01 5.762525115155724131e-02 6.168138851502540793e-02 1.712228594647547952e-01
2.300000000000000000e+02 5.698947167374395576e+03 2.488860520122066333e+01 2.876198578161875741e+00 2.684708390632290076e+01 3.131147023526791529e+00 1.631452851170645646e+00 3.052310882693152205e-01 3.292420633515107387e-01 2.292987444621029380e-01
