# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
3.000000000000000000e+00 2.302480337359051248e+02 1.267492596051263654e+01 -7.643990942515226372e+00 1.272910185725584320e+01 -7.657911684200840341e+00 4.038858453887455902e+00 -5.683710837875293187e-01 -5.683576170936474048e-01 -1.266205792701154964e+00
7.000000000000000000e+00 8.122014315301235001e+02 3.131182417263649320e+00 -1.352997342781428580e+00 3.339830745785969501e+00 -1.458802066954504095e+00 1.385329964737539665e+00 7.743317632562544961e-02 7.743419521842168085e-02 2.141701194306995681e+00
1.200000000000000000e+01 7.696401440783187127e+02 8.601871276588603621e+00 -2.215662666013207716e+00 9.070389946164389983e+00 -2.364181064963455814e+00 8.141917432188122694e-01 1.135724377293944737e-01 1.135758301796188363e-01 3.807731085141128902e-01
1.700000000000000000e+01 9.442556933700237778e+02 -3.090237923621704574e+00 2.397244736614572713e-01 -2.849593460243705856e+00 4.128336935058136981e-02 5.034096597939714535e-01 4.909698472955207477e-02 4.910408114474518193e-02 3.402287552166370910e-01
2.200000000000000000e+01 6.359735966473114104e+02 4.793722686654689480e-01 -2.859528431836388496e+00 7.697525623264850347e-01 -2.945356082978194401e+00 8.630883162927187602e-01 2.283767006552575862e-01 2.284420838572292500e-01 4.434985794736478470e-01
2.700000000000000000e+01 9.306410671089108746e+02 4.922837246077810036e+00 8.996107913749632479e-01 5.318024720613538925e+00 8.360677935155251816e-01 8.256723690790170878e-01 1.924164800194092667e-02 1.925278462012451966e-02 4.683353980668611416e-01
3.200000000000000000e+01 1.146546739019659753e+03 4.452364979656631583e+00 2.599742153191638927e+00 4.969480378132878684e+00 2.677438666840303849e+00 7.004896219011349512e-01 8.751210271155110410e-02 8.756713691064887950e-02 4.372844700420431829e-01
3.700000000000000000e+01 1.269028889579130237e+03 5.349610223481866100e+00 2.999582565937766038e-02 5.880189884071727491e+00 6.613753830905193254e-02 6.603792851727605662e-01 2.650257100697405582e-02 2.652610201198026679e-02 4.507842891851440159e-01
4.200000000000000000e+01 1.468025433755796939e+03 -7.729840631457329803e-01 -2.493072287226532069e-01 -3.799565255641407790e-01 -1.515268584155695097e-01 5.104660584705500437e-01 2.290034274209776510e-01 2.292653921888945789e-01 3.767390920740458227e-01
4.700000000000000000e+01 1.363425962883138254e+03 4.929003179942805346e+00 2.385620034085128349e+00 5.315764118650117886e+00 2.602636940092890150e+00 7.536108290175678182e-01 -2.635931609104294557e-03 -2.635620382532230695e-03 4.519060190081243822e-01
5.200000000000000000e+01 1.392947588424563492e+03 3.021979655063788961e+00 1.605699028657823435e+00 3.278390037882954466e+00 1.873496715417884761e+00 7.188163467090860070e-01 -6.596110553917940156e-02 -6.609119401476466760e-02 3.151429508195023876e-01
5.700000000000000000e+01 1.771520471470052144e+03 -3.474067617157247323e+00 2.823807278987296776e+00 -3.383742102106725103e+00 3.164591929136009618e+00 6.273775140611701495e-01 3.530270355766536305e-03 3.533719153279450600e-03 2.384868203749076210e-01
6.200000000000000000e+01 1.614121706768019067e+03 1.657422223316658005e+00 2.510146275676129690e+00 1.460017872938704331e+00 2.826953933875171465e+00 1.014369547343190181e+00 -8.804560779933238990e-02 -8.825452901463304300e-02 2.759219527480448741e-01
6.700000000000000000e+01 1.902488163951521756e+03 -3.308342506430770324e+00 6.961684453333640832e-01 -3.715734647211625941e+00 1.054074429625355247e+00 7.343544513180482181e-01 5.875562480362447187e-02 5.893566085398447424e-02 2.778922609587460846e-01
7.200000000000000000e+01 1.969145887226080504e+03 -6.963242859202026125e+00 4.127578160256788919e+00 -7.760133645805685099e+00 4.427548661557461962e+00 6.589868170277857207e-01 -1.002280152582327687e-02 -1.007276188824632844e-02 2.577383510377555531e-01
7.700000000000000000e+01 1.795208383814010176e+03 -7.632407427869912553e+00 -7.720805808437206097e-02 -8.558598159206388445e+00 2.014391470011297203e-01 1.281958608865240157e+00 -7.388149384247151563e-02 -7.423162923539008973e-02 4.527724088810339831e-01
8.200000000000000000e+01 2.201066471115739660e+03 -5.865464529838204655e-02 2.164123643252077844e+00 -9.356780095812460285e-01 2.321190676152274257e+00 1.142598303266488813e+00 1.745477198311242151e-01 1.753224205346279596e-01 2.520022157414210651e-01
8.700000000000000000e+01 2.395325380048281204e+03 -4.740638962220285357e+00 -2.632951588820981570e+00 -6.145738864241860888e+00 -2.645041955652719601e+00 1.096788538517587952e+00 -3.982173558240131514e-03 -3.998101344885857285e-03 4.169211428812321651e-01
9.200000000000000000e+01 2.392596925592416483e+03 -2.118401023663328431e+01 6.837533049512876104e-01 -2.347996811089629077e+01 5.217414395854846898e-01 1.413771940941778826e+00 -2.339603539680075728e-01 -2.353407303388535543e-01 5.194681227894707432e-01
9.700000000000000000e+01 2.632373520470626318e+03 -1.889180992611516530e+01 -1.398357816035010304e+00 -2.186148415976488124e+01 -1.450514213341366432e+00 1.502844206370156810e+00 9.879504033706920652e-02 9.942273855139868721e-02 9.497558064538400013e-02
1.040000000000000000e+02 2.969713010976951409e+03 -2.231958107641978728e+01 8.456110434805749199e-01 -2.608502107118237134e+01 9.545672858065734623e-01 1.443446259817861899e+00 3.182126307407024957e-01 3.205984689962934064e-01 2.567811327439175062e-01
1.130000000000000000e+02 3.216000805900002888e+03 -3.388676762380282526e+01 -7.741012982316201052e-01 -3.900999171412727407e+01 -8.080884842707890536e-01 1.485281456600882732e+00 5.918241072385622970e-02 5.976540171125044321e-02 3.253781720051949211e-01
1.220000000000000000e+02 3.457919661935110980e+03 -3.140764677702107477e+01 -6.459914852876733615e-01 -3.739953684112457211e+01 -1.024963112350698813e+00 1.341382381041145377e+00 -3.128278506326767627e-02 -3.154523182296734007e-02 1.522641580616603818e-01
